,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
39,neutral,neutral,TRUE,Det er Robsons store udfordring. Han er dog ret bredt anerkendt som en af de største engelske spillere,[-2.3285544  5.474043  -2.0335677],[4.0828134e-04 9.9904341e-01 5.4836617e-04]
40,positive,negative,MISS,"Fodboldfans og sange er altså en historie for sig selv! 
Så ufattelig mange sløje tekster og selvkonstruerede ord for at få noget til at lade som om det rimer.",[-0.37879267 -3.503484    2.6345518 ],[0.04673047 0.00205383 0.95121574]
41,positive,neutral,MISS,"Det er Torsdag og dermed Premier League i Dart, med runder igen før finalen strammer det til nu.
Se forslag på facebook side",[-1.9455969 -3.4105892  3.3414416],[0.00502543 0.00116128 0.9938133 ]
42,neutral,neutral,TRUE,"Nethandel med Dankort fejrer 20 års fødselsdag i dag. Tilbageblik: Det er i dag 20 år siden, at det første køb med Dankort på nettet blev gennemført. Siden er det blevet til millioner af handler på nettet.",[-3.720438    3.1219563   0.12044673],[0.00101595 0.95167446 0.04730961]
43,neutral,negative,MISS,Det vil sige at laveste fællesnævner hermed er dem det laver balladen.,[-2.2625747  5.588763  -2.0778012],[3.8889737e-04 9.9914324e-01 4.6782254e-04]
44,negative,negative,TRUE,"@USER, hvor er det bare en uklædelig måde du omgår reglerne om kampagnestøtte. Du er jo udmærket klar over, hvad intentionen med loven er. Den burde du som borgerlig leve op til. Åbenhed er en styrke i politik. #dkpol #fv19",[ 4.454354  -1.6716744 -1.7167759],[0.99574405 0.00217594 0.00207998]
45,negative,negative,TRUE,"Meget ærgerligt for Slagelse Kommune, fordi jeg er tæt på byen, hvor jeg kan få arbejdet i Korsør, det er bare et arbejde. De skal kunne tænke sig om.",[ 4.438149  -1.6943381 -1.7175074],[0.99572575 0.00216189 0.00211238]
46,negative,neutral,MISS,"Hvad sker der med i dag, kan ikke komme ind??",[ 4.4265766 -1.2925358 -1.969195 ],[0.99507314 0.00326645 0.00166038]
47,negative,negative,TRUE,"Men igen; hvor mange opretter en komité og når frem til “nå, ingen vil have mig”?",[ 3.7756321   0.31995124 -1.6904188 ],[0.96544325 0.030475   0.00408179]
48,negative,negative,TRUE,Så er der jo fremtids sikret. Når man ser hvad der sker på vestkysten nemlig ikke en skid så kan jeg godt se hvorfor det bliver gjort. For der må da ikke kystsikres før det er for sent. Så jeg smiler bare.,[ 4.454276  -1.7072515 -1.6843495],[0.99575114 0.00210007 0.00214872]
49,negative,negative,TRUE,Det hedder at klæbe sig til taburetten man ved er tabt alligevel. Husk I kun blev reddet af DF sidste gang,[ 4.3361053 -1.6911038 -1.6992769],[0.9952182  0.00240068 0.00238114]
50,negative,negative,TRUE,Mig heller ikke. Al magt til velfærds argumentet om den enkle fries lykkelige. Lad os i samlet flokkes kor nedlægge denne fucking irriterende natur planeten dyrene og træerne og insekterne der æder vores korn eller er det de vilde fugle. Lad os slaa disse fucking fugle ihjel.,[ 4.4791813 -1.7233942 -1.7618855],[0.9960438  0.0020162  0.00194007]
51,negative,positive,MISS,"Tror faktisk der er en hel del fodboldfans i hele DK, der passer på den beskrivelse. Måske ligefrem et par hviiie’ også...? Kudos til VF for at stikke hul - mon ikke det bliver forårets tema? Og DBU kommer til at følge op med et par trusler osv. osv... #Sldk",[ 4.2389336 -1.3563122 -1.659229 ],[0.99358153 0.00369164 0.00272687]
52,negative,negative,TRUE,Man har i årtier benyttet enhver lejlighed til at sætte brand i gaderne på Nørrebro. Først venstreorienterede autonome og siden indvandrerne fra Mellemøsten. Så det er en kultur der har eksisteret længe før nogen kendte til Rasmus Paludan. Han er blot en dårlig undskyldning.,[ 4.4674816 -1.672653  -1.7180197],[0.995804   0.00214559 0.00205043]
53,negative,neutral,MISS,"Ja, kan du ikke bare være enig i det mest effektive tiltaket, så er vi ferdig? ;)",[ 2.3809803  -0.34463432  0.02367439],[0.86193454 0.05646183 0.08160361]
54,negative,negative,TRUE,"T.e. ved at læse tweets og svar som dine med fascistiske og racistiske undertoner. Og den undren det giver når danskere, som ellers virker til at være veluddannede og intelligente, kan få så menneskefjendske holdninger. Det er ikke mit Danmark mere. Lev vel.",[ 4.4719253 -1.6539893 -1.7157207],[0.9957777  0.00217626 0.00204598]
55,negative,negative,TRUE,"Rygning ... ja lad os endelig putte mere skat i statskassen så skattestyrelsen kan forpurre dem efterfølgende , mine cigaretter koster næsten 50 kr så prisen er fordoblet de sidste 10-12 år har det hjulpet staten burde ikke blande sig og hvad bliver det næste rødvin ? Slik ?",[ 4.4721274 -1.6655012 -1.7131524],[0.99579805 0.00215096 0.00205087]
56,neutral,negative,MISS,"“Han sov på gaden, når han ikke vandt i lodtrækningen om at få en plads i et herberg for natten, har han forklaret”.
Vi kan ikke være det bekendt, at der må trækkes lod. Tak for frifindelse",[-1.0391964  5.4095116 -2.5894558],[1.5795352e-03 9.9808526e-01 3.3516629e-04]
57,negative,positive,MISS,"Ganske kort og simpelt: hvis det er så fandens korrekt, alt det du får braldret af dig, hvorfor er det så, at stemmerne flyver fra jer som lort fra spædekalve? Gi' dig gerne god tid. Og vær nu varsom med at svine dine vælgere til 😆😉👍",[ 4.478327  -1.6474543 -1.7383593],[0.9958358  0.00217668 0.00198754]
58,neutral,neutral,TRUE,Stormen Pabuk dræber to ældre og en fisker i Thailand,[ 0.99797976  1.3621284  -0.8070965 ],[0.38406143 0.5527751  0.06316349]
59,positive,positive,TRUE,Det ser spændende ud! Men for en god ordens skyld: Det er og der holder konferencen. Vi er bare skriverkarle :-),[-3.3410478  -0.81533915  2.1432204 ],[0.00393125 0.04913958 0.9469292 ]
60,negative,positive,MISS,Kan næsten ikke følge med efterspørgslen: 'Vestjyden' går som varmt brød (Dette er en plus-artikel),[ 3.3492503  -0.90685827 -0.789633  ],[0.9707626  0.01376285 0.01547458]
61,neutral,negative,MISS,"Når vi nu ikke ved, hvornår der er Folketingsvalg (@USER?), kan vi jo meget passende forberede os til den 26. maj, hvor vi stemmer om noget, der er MINDST ligeså vigtigt #dennegangstemmerjwg #eudk",[ 1.700018   2.4947472 -2.3780706],[0.3095227  0.68523407 0.00524325]
62,positive,positive,TRUE,Jeg føler at 2019 starter overordentligt godt :),[-1.8285786 -3.659073   3.422075 ],[5.2123722e-03 8.3572190e-04 9.9395186e-01]
63,positive,positive,TRUE,Lækre detaljer i brilleetuier og pudseklude 😍,[-1.82769   -3.6342366  3.464121 ],[5.003323e-03 8.216470e-04 9.941750e-01]
64,neutral,positive,MISS,Enig. En true detective podcast. det er lige dig ? :),[-3.1887324  3.9983501 -0.9985052],[7.5065106e-04 9.9254066e-01 6.7087505e-03]
65,negative,negative,TRUE,"Tillykke til @USER. Førstepladsen for desperation, misbrug af embedsværk og største politiske selvmål i #dkpol 😂😂",[ 4.4660196 -1.6872026 -1.7177685],[0.99582833 0.00211775 0.00205399]
66,negative,negative,TRUE,"Orban er en 'klaphat', men vil beholde ham i EPP-gruppen i Europa-Parlamentet, efter Juncker opfordrer til at man smækker den konservative dør i -&gt;",[ 2.6745205   0.91209704 -1.5431128 ],[0.8429131  0.14466783 0.01241904]
67,neutral,neutral,TRUE,Forsker: Udvisket arbejderklasse gør alle partier til arbejderpartier,[ 1.4699609  2.0950255 -1.8721495],[0.3443848  0.643437   0.01217822]
68,neutral,neutral,TRUE,"Det er en fin anledning, jeg kan godt huske den del, fra jeg selv stod der. Det var mere for de tilfælde, hvor ingen prøver eller holder øje med den slags, og man så fx lige skal finde faren og derfor har brug for at vide hvornår, det kan være sket.",[-2.812023   4.1395907 -1.1710325],[9.5147983e-04 9.9413860e-01 4.9098991e-03]
69,neutral,positive,MISS,Jeg ville ihvertfald. Om nødvendigt ville jeg være parat til at kalde min ufødte datter Oscar.,[-1.9818163  5.1980624 -1.8817494],[7.6054054e-04 9.9839884e-01 8.4058329e-04]
70,positive,negative,MISS,"Rigtig mange forældre er i tvivl om de mon gør det godt nok. 

Mange er bekymret og går med det selv.

Derfor er dette et rigtig godt initiativ.",[-2.3217344 -2.8779428  3.1940737],[0.00399737 0.00229201 0.99371064]
71,negative,neutral,MISS,"De politikere, der råbte ""skandale"", var fuldt ud informerede og havde alle oplysninger til rådighed om metodespørgsmål i de nationale test.

Bekræfter kun det gamle ord: Peger du en finger mod andre, vender der tre mod dig.

#dkpol 

[LINK]",[ 3.1662045  -0.26231554 -0.9305867 ],[0.9532336  0.03091804 0.0158484 ]
72,neutral,neutral,TRUE,"Her er øjeblikket, der stjal opmærksomheden til Oscar-showet,",[-2.9933953  4.104089  -1.3190843],[8.2287134e-04 9.9478698e-01 4.3901163e-03]
73,neutral,neutral,TRUE,"Jeg deler din overraskelse, selvom jeg kommer jævnligt dernede på deres klatrebaner, så måske burde jeg ikke blive overrasket. På den anden side, er det jo ikke ‘vores’ natur, men hans ejendom.",[-1.6356697  3.0657632 -1.4455664],[0.00890359 0.9803287  0.01076778]
74,neutral,neutral,TRUE,"Nogen der har råd mod hold i nakke/skulder?? Der er ligesom en knude, der gør nuller #twitterhjerne",[-2.1225188  3.626253  -0.8883152],[0.00314228 0.986062   0.01079573]
75,negative,negative,TRUE,"Sort dag. var som den braldrende kammerat på et fodboldhold. Han tisser i badet, får dumme gule kort. Men er også ham, der skyder fra en kropumulig vinkel og scorer. Giver omgang, selvom kontoen er i overtræk. Og som man slet ikke kan undvære, den dag han er væk. #dkmedier",[ 4.452293  -1.7181818 -1.8208343],[0.99603915 0.00208196 0.00187885]
76,negative,negative,TRUE,"Martin Retov skal stoppe med at brokke sig over det røde kort til Ercec! Ercec har bolden i hænderne og kaster den langt væk. Klart tidsudtræk - og nummer to gule kort til Ercec. Hvis der er nogen, der mangler 'fingerspitzengefühl' i den sag, så er det i hvert fald ikke dommeren.",[ 4.5159063 -1.6645681 -1.788025 ],[0.9961165  0.00206141 0.001822  ]
77,neutral,neutral,TRUE,Jeg lukkede den faktisk ned inden et møde 😬,[ 0.5593943  3.763484  -2.4586685],[0.03893783 0.95915824 0.0019039 ]
78,negative,neutral,MISS,"Det er Paludans egen iscenesættelse.
Han må tale og demonstrere alt det han vil. På steder, der ikke forstyrrer offentlig orden.",[ 4.468662  -1.3982967 -1.9324776],[0.995529   0.00281881 0.00165225]
79,negative,negative,TRUE,"Det komplekse er en afledning. Det er sådan set meget simpelt: Flere hundrede mennesker skal ikke stå og synge sange, der bruger homoseksualitet nedsættende. Det burde være muligt at have en klar holdning til.",[ 4.2208457 -0.5444001 -1.8576558],[0.98930323 0.00842965 0.00226709]
80,negative,neutral,MISS,"Bidrager til dagens forsidehistorie i om at #dkpol skal passe på med at pille ved Velfærdsforliget. Det er meget dyrere for #dkøko at slække på løft af pensionsalder end at lave særordninger for et mindretal af nedslidte til fx 3 mia. kr.
",[ 4.4164386 -1.6846881 -1.821219 ],[0.9958228  0.00223098 0.00194626]
81,negative,negative,TRUE,I de seneste år er de private virksomheders overskud vokset markant. Det er dog mest af alt kommet de få rige til gode. Flertallet af befolkning har adgang til en stadig mindre del af velstanden. Fra 1990 er uligheden steget med 32%. 1/4,[ 4.3488045 -1.7133906 -1.7750317],[0.9955011  0.0023188  0.00218019]
82,negative,negative,TRUE,"Synes på en måde alle fangrupper burde gå fælles front mod dette tåbelige valg af DBU. I det mindste finde en løsning hos alle dem som har købt billet til om søndagen som ikke kan.

Er der ikke et nummer til DBU som man kan kontakte!",[ 4.455012  -1.6653981 -1.7644831],[0.99582976 0.00218839 0.00198195]
83,negative,positive,MISS,"Gengæld fik jeg bare ud fra at du skrev at nu jeg gjorde grin af dig her, gjorde du grin af mig der. 

Det er også fair nok. ""For the lolz"" er en helt legitim grund :)",[ 4.305091  -1.2686206 -1.8602409],[0.99413717 0.00377411 0.0020887 ]
84,neutral,neutral,TRUE,"Lig, dildoer og flaskepost: Sære ting, der er blevet fundet i naturen",[-1.5881395  5.630291  -2.2783575],[7.3214620e-04 9.9890077e-01 3.6714697e-04]
85,negative,negative,TRUE,"Jeg tog det første semester på uddannelsen, vi var fem studerende på holdet, måske forstår jeg godt at det ikke kan betale sig. Desværre.",[ 4.4160914 -1.4369539 -1.8430071],[0.99523866 0.00285747 0.00190386]
86,neutral,neutral,TRUE,Kan vi stole på i klimakampen? Det spørger i lørdagens leder om @USER’ seneste udtalelser #dkgreen,[-1.0347468  5.4782076 -2.5256355],[1.4813953e-03 9.9818510e-01 3.3356933e-04]
87,negative,negative,TRUE,"Jarlov tror fejlagtigt, at alle, som er uenige med ham, pr. definition er venstreorienterede. Man er dog ikke nødvendigvis venstreorienteret, bare fordi man er uenig med en kraftigt højredrejet #dkpol",[ 4.1309285 -0.4115512 -1.7815702],[0.98682356 0.01050668 0.00266977]
88,neutral,neutral,TRUE,Lige her kan du se det nye Risbjerg-snit (og måske sidste inden valget bliver udskrevet) #dkpol,[-2.4719827  5.3408384 -2.056567 ],[4.0410404e-04 9.9898368e-01 6.1221782e-04]
89,neutral,neutral,TRUE,Dorte Jarlby: Jeg sagde selv fra overfor Klaus Riskær Pedersen,[-2.6901212  5.6383343 -1.995146 ],[2.4136984e-04 9.9927503e-01 4.8362277e-04]
90,neutral,neutral,TRUE,"Nej, det gør der ikke. Se evt. her: :)",[ 0.14234735  3.5280714  -1.98084   ],[0.03261682 0.96348053 0.00390259]
91,negative,negative,TRUE,"Troels Lund siger helt korrekt lige nu i at udenlandske firmaer spekulerer i ikke at registrere sig når de udfører arbejde i Danmark. Men han glemmer, at resultat af at denne regering har sparet massivt på indsatsen mod social dumping og på Arbejdstilsynet. #dkpol",[ 4.364079  -1.5785125 -1.8960185],[0.99548423 0.00261336 0.00190243]
92,neutral,neutral,TRUE,"Læs mere om samrådet her i 
[LINK]
#Skolechat",[-3.8986073  4.220113  -1.0743834],[2.9633410e-04 9.9471104e-01 4.9925973e-03]
93,positive,positive,TRUE,Nordjysk firma står bag Tysklands største solvarmeanlæg,[-3.6488566  -0.25348577  1.3587898 ],[0.00554391 0.16535111 0.82910496]
94,positive,positive,TRUE,"Tak til alle de politikere, der vil med og os på #arbejde 👍 Vi glæder os til at vise jer, hvorfor vi ser muligheder i alle mennesker. Hvordan vores arbejde gør en forskel.
@USER",[-1.9644346 -3.5506809  3.4377728],[4.482287e-03 9.174905e-04 9.946002e-01]
95,neutral,neutral,TRUE,Terror i Sri Lanka | Fejl i danske pas | Borgmester befamlet,[ 1.8020514  2.0237405 -1.7697549],[0.43931165 0.54834145 0.01234687]
96,negative,neutral,MISS,"Velfærd og asylansøgere er ikke hinandens modsætninger: 7,5% af BNP kommer fra udenlandsk arbejdskraft. Vi mangler arbejdskraft i Dk. Se link. Væksten går i stå, det tager penge fra velfærd",[ 4.402036  -1.7318418 -1.7321568],[0.9956831  0.0021588  0.00215812]
97,positive,positive,TRUE,her er mine elevers bud på de vigtigste emner til valget - de er alle førstegangsvælgere! De håber at de bliver hørt! #dkpol,[-2.5560195 -2.6058576  2.9818842],[0.00390478 0.00371495 0.99238026]
98,neutral,neutral,TRUE,Hvor er de handicappede i #sundhedsreform,[ 1.3425083  2.8796365 -2.3093252],[0.1761445  0.8192857  0.00456981]
99,neutral,positive,MISS,"Jeg tænker, jeg godt kan købe en øl eller to mere, hvis der kommer lidt medvind på kurserne...",[-2.5705233  4.0692153 -1.0964811],[0.00129826 0.99303246 0.00566931]
100,positive,positive,TRUE,"Vi har hørt meget om to nye 🐼🐼 i #dkmedier de sidste par dage. Nu er de endelig landet. Også på 6A'eren. Vi er stolte over at løfte arven videre efter #cphzoo legendariske slange-bus. Hold øje med pandabussen, og se de sort-hvide charmetrolde i ZOO fra 11. april",[-1.922252  -3.6227438  3.4580486],[4.581480e-03 8.365492e-04 9.945820e-01]
101,negative,neutral,MISS,Man kunne flytte en del af energiafg. over på CO2-afg. Biogas udfordring er pt at den ikke afgiftsmæssigt adskilles fra naturgassen den iblandes. At gasbiler så betaler mere/km i energiafg. end diesel skyldes den ineffektiv motor baseret på benzintek. Det gælder ikke den i link.,[ 3.7104502  0.594716  -1.881925 ],[0.95413285 0.04231192 0.00355526]
102,positive,positive,TRUE,Fredericia-helt om 2-1: Ekstremt vigtig sejr #1div #FCFredericia,[-2.6487904 -2.7885697  3.2955804],[0.00260777 0.00226759 0.99512464]
103,negative,neutral,MISS,Der er alt for meget at komme efter i den norske (og danske) undergrund!,[ 4.1241965  -0.22665939 -1.6957818 ],[0.9843842  0.01269439 0.00292133]
104,neutral,neutral,TRUE,"Der er både 👍 og 👎 i AFC West i vores draftanalyse 🏈

@USER kommer her med sin vurdering af holdenes valg i Nashville 💥 #nfldk #NFLDraft",[-2.9624476  4.4724064 -1.522098 ],[5.8850093e-04 9.9692672e-01 2.4847519e-03]
105,neutral,negative,MISS,"Din og andre i din vennekreds udgør ikke noget repræsentivt uddrag - mit opfattelse er nærmere at det er størstedelen som agerer som beskrevet, og det modsatte er enkelte særtilfælde. Men hey, svært at dokumentere - derfor bør du ikke determinere det.",[-2.0528598  5.4682665 -2.220559 ],[5.4098159e-04 9.9900156e-01 4.5745840e-04]
106,negative,neutral,MISS,"forskerzonen: RT @USER: Ja, det er vildt, så stort universet er: Et lysår = ca. 9.400 mia. km. Det sorte hul i Messier 87('en nær galakse') = 55 mio. lysår væk. Det svarer altså til en afstand på 9.400 mia x 55 mio. km = 522.000.000.000 mia. km (Til …",[ 4.5471077 -1.4678453 -1.8830148],[0.9959621  0.0024321  0.00160574]
107,neutral,neutral,TRUE,RT @USER: Er du fra Syd- og Sønderjylland og tæt på #NotreDame lige nu? Så vil gerne tale med dig,[-2.7286012  5.185524  -1.856739 ],[3.6509085e-04 9.9876189e-01 8.7306381e-04]
108,neutral,neutral,TRUE,Københavns Lufthavn starter historisk stor udbygning til 4 mia. kr. #dkbyg #dkpol #dkbiz,[-3.1947885  4.1405535 -1.2015603],[6.4855412e-04 9.9459153e-01 4.7598621e-03]
109,negative,negative,TRUE,"""Registreringsafgiften på biler og motorcykler skal sænkes fra 180 til 150 procent""
Den er jo allerede blevet sat til 150% ?
hvad er det her for noget fis?",[ 4.4179635 -1.6574701 -1.725163 ],[0.9955729  0.00228847 0.00213869]
