sentence,textID,mean_age,mean_leaning,n_coder,morality,emotion,positive,negative,both,care,fairness,loyalty,authority,sanctity,harm,injustice,betrayal,subversion,degradation,general,idk,uncodable,morality_binary,emotion_binary,positive_binary,negative_binary,sent_mixed_binary,care_binary,fairness_binary,loyalty_binary,authority_binary,sanctity_binary,harm_binary,injustice_binary,betrayal_binary,subversion_binary,degradation_binary,general_binary
"Dansk Folkeparti har her fremsat et beslutningsforslag, der pålægger regeringen at arbejde for en ændring af reglerne for EF-Domstolens arbejde, og så vidt jeg ved, skal det drøftes den 13. marts.",da_pa_2572812,28.6,4.6,5,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vi skal være bedre til at få nye idéer omsat til produktion.,da_ma_23504,28.6,4.6,5,3,1,1,1,1,2,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Vi har selvfølgelig noteret os, at der ikke er flertal for vores forslag.",da_pa_3757591,28.6,4.6,5,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ved at starte en forbudsprocedure med udgangspunkt i listen over uønskede stoffer og de hormonforstyrrende kategori 1-stoffer i kosmetik tages et vigtigt skridt i den rigtige retning.,da_ma_5764,28.6,4.6,5,5,2,5,0,0,3,4,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Mænd og kvinder og i øvrigt alle andre grupper skal have lige muligheder for at udfylde deres personlige potentiale.,da_ma_30801,28.6,4.6,5,5,3,5,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Undervejs har vi truffet hårde beslutninger.,da_ma_14881,28.6,4.6,5,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Regeringen magtede ikke at fortsætte en politik, som kunne forbedre erhvervslivets forhold.",da_ma_25428,28.6,4.6,5,4,3,0,4,0,0,0,0,0,0,1,1,1,2,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Derfor undrer det mig, at der er så meget tvivl, og at man kan tro, at vi vil tage 20 pct. af de unge mennesker ind i den her ordning.",da_pa_1925921,28.6,4.6,5,2,4,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Så det går da trods alt, også i forhold til tallene fra sidste år, den rigtige vej.",da_pa_3681690,31.2,2.6,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I stedet for burde man gå en anden vej – nemlig den vej, vi fra Enhedslistens side ønsker at gå.",da_pa_4150121,31.2,2.6,5,4,3,2,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For det andet skal regeringen iværksætte og afslutte et udvalgsarbejde om højere erstatninger til omsorgssvigtede og misbrugte børn.,da_pa_4109928,31.2,2.6,5,5,2,4,1,0,4,3,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"På et eller andet tidspunkt må man gøre boet op, så må  man gøre sin stilling op.",da_pa_1527270,31.2,2.6,5,3,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vi arbejder gerne videre med det, og vi vil gerne have, at man fastholder det fokus, der er på styrkelsen af forbrugerbeskyttelsen.",da_pa_3765017,31.2,2.6,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faktisk blev  en delegation fra Det Udenrigspolitiske Nævn orienteret i  Washington D.C. i september 1999 i samme stund, som Nævnet  blev orienteret her i København.",da_pa_448581,31.2,2.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Som jeg nævnte, blev der sidste år overført 34 udlændinge til afsoning i hjemlandet.",da_pa_3681577,31.2,2.6,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I de indre dele af de to  byer er biltrafikken faktisk faldet det seneste år.,da_pa_728563,31.2,2.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hvis det projekt skal lykkes, kræver  det en mangfoldighed af pædagogiske tilgange tilpasset den  enkelte ungdomsuddannelse og undertiden den enkelte klasse og  elev, så også af denne grund er det bydende nødvendigt at få  nedsat klassekvotienten.",da_pa_1230561,31.2,2.6,5,3,3,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Det er ikke noget, jeg ønsker lukkethed om, så jeg vil  sende tallene over, når der er gået et halvt år - altså  omkring den 1. juni.",da_pa_1141978,31.2,2.6,5,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeg har ikke været på Rinkebyskolan, men jeg har  været en tur på Bornholm, og på Bornholm har man besluttet  simpelt hen at lave sprogscreening af alle 3-årige børn.",da_pa_991517,31.2,2.6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vi skal regulere finanssektoren og sikre, at den kommer samfundet til gode.",da_ma_11096,31.2,2.6,5,4,1,3,0,1,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Alle unge, der ønsker det, skal kunne få en uddannelse.",da_ma_8162,31.2,2.6,5,5,2,5,0,0,4,4,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"Anders Fogh Rasmussen  tænker hurtigt og måske også af og til hurtigere, end han  taler.",da_pa_332469,31.2,2.6,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Derfor er det jo er en vældig god idé, for der er selvfølgelig en række ting omkring det Måbjergværk, som vi må have kigget nærmere på.",da_pa_1749295,31.2,2.6,5,2,3,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"For en af de ting, der trækker i Syrien, er jo, at vi ikke har villet skrive den under.",da_pa_2140293,31.2,2.6,5,3,2,0,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Vi har lavet en god aftale, og jeg ser med glæde frem til at få dette lovforslag stemt igennem i dag.",da_pa_4002337,31.2,2.6,5,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hvis vi kigger sådan mere på det fremadrettede, synes vi, at man som regering har et ansvar for at gøre Danmark stærkere og bedre rustet til de globale udfordringer, der er.",da_pa_3911007,31.2,2.6,5,5,3,5,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"I vores tal i skattereformen lægger vi op til at skabe 15.000 flere job målt i årsværk, og det er altså ret flot klaret, synes jeg.",da_pa_3352585,31.2,2.6,5,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Når jeg læser dem højt, er det for at minde om, at det handler om mennesker.",da_pa_3988687,31.2,2.6,5,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeg vil først understrege – også på baggrund af selve formuleringen af spørgsmålet – at jeg på ingen måde anfægter dommen i Østre Landsret.,da_pa_4210893,29.2,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midler frigjort fra staternes asylsagsbehandling gives til migrationsforebyggende udviklingsarbejde og konfliktforebyggelse.,da_ma_931,29.2,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Den vigtigste faktor og det vigtigste problem var, at  man ikke kunne få dem sendt hjem.",da_pa_14513,29.2,4,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hvordan skal Bornholmstrafikken kunne gå ud og skaffe  færger?,da_pa_1172655,29.2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hver gang en præstestilling i et tyndtbefolket område  bliver ledig, indgår det i biskoppens overvejelser og  eventuelt også i drøftelserne med menighedsrådene, om den  skal opslås uændret, eller om man skal bruge lejligheden til  at bruge ressourcerne på en anden måde.",da_pa_439342,29.2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeg synes måske i virkeligheden, at fru Gitte Lillelund Bech  meget godt skitserer, hvor uenigheden ligger, den uenighed,  som vi måske kan få noget afklaring på hen over sommeren.",da_pa_1494832,29.2,4,5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"En borger kan fritages generelt fra digital post, fordi det jo er sådan med digital post, at borgeren uopfordret kan modtage breve fra det offentlige, og derfor er det vigtigt at sikre sig, at borgerne er i stand til at anvende digital post.",da_pa_3794433,29.2,4,5,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men det er altså arvegods fra vores regeringstid.,da_pa_3567759,29.2,4,5,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vi er således imod principperne i  lovforslaget.,da_pa_102820,29.2,4,5,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Det, jeg gerne vil sige, er, at jeg jo ikke vil stå og kommentere en navngiven borgers verserende sag, men at vi har nogle muligheder i vores lovgivning for at fratage mennesker et statsborgerskab, hvis de eksempelvis er dømt for terrorisme.",da_pa_3640289,29.2,4,5,5,4,2,1,2,0,3,0,2,0,1,1,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"Der skal man huske, at hvis ikke de skal være omkostningsægte, er det jo ikke sådan, at det så pludselig bliver billigere.",da_pa_2991540,29.2,4,5,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeg tror også, det kunne være godt, at der kom nogle midler med, så medarbejderne kunne få noget mere uddannelse, også i hvordan man håndterer situationen med børn.",da_pa_2567143,29.2,4,5,4,2,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Det nytter jo ikke noget, at alle mulige sagesløse personer skal undgælde for, at der er en gruppe fra Stormellemøsten, som på grund af deres kultur ikke kan finde ud af at præstere det, som man almindeligvis bare kalder ordentlig opførsel.",da_pa_4426698,29.2,4,5,4,5,0,4,0,0,0,0,0,0,2,1,1,2,3,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"Eller skal man komme med fødelinjer til områder, hvor folk i virkeligheden ikke kan bevæge sig rundt?",da_pa_2273231,29.2,4,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jamen det er helt præcis ca. 11 mia. kr., så det er mange penge.",da_pa_2912689,29.2,4,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrkiet skal behandles på lige fod  med andre kandidatlande.,da_pa_1088380,29.2,4,5,5,1,3,0,2,2,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"Jeg vil lægge op til, at vi alle samles om en ambitiøs strategi, der kan gøre Danmark til et førende vidensamfund og til verdens mest konkurrencedygtige samfund.",da_pa_1662992,29.2,4,5,3,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
En god erhvervspolitik skal derfor sigte mod erhvervslivet - så kommer jobbene af sig selv.,da_ma_35436,29.2,4,5,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Det er nemlig samtlige sambeskatningsregler, der ændres med lovforslaget her, og derfor er hr.",da_pa_1702590,29.2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men Kristeligt Folkeparti betragter ikke indvandringen som en trussel mod dansk kultur og danske værdier.,da_ma_27883,29.2,4,5,3,3,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Et samfund der passer bedre på klimaet Vi skal have et samfund, der er selvforsynende med vedvarende energi.",da_ma_23715,32.2,2.8,5,4,4,3,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Velfærd er rammerne om vores hverdag og liv i Danmark.,da_ma_15453,32.2,2.8,5,3,2,3,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Men som jeg også har prøvet at oplyse Venstre om, er virkelighedens verden den, at der ikke er mulighed for at pålægge regeringen at gennemføre den administration af loven, som Venstre går ind for.",da_pa_3709474,32.2,2.8,5,3,3,1,0,1,0,0,0,2,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lån til ågerrente (mere end 25% over normal udlånsrente) mister retsbeskyttelsen.,da_ma_1944,32.2,2.8,5,2,2,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Jeg kan selvfølgelig ikke stå på Folketingets talerstol repræsenterende Venstre og så overse, at også dette lovforslag har et væsentligt antal bemyndigelser, hvad vi konsekvent ikke er fortalere for.",da_pa_1600944,32.2,2.8,5,3,3,1,1,1,0,1,2,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Det var, at vi ville give en kompensation til kunstnerne som følge af den lovlige kopieringsmulighed, der blev etableret.",da_pa_1955445,32.2,2.8,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Det var jo derfor, jeg gerne ville videre end det – ikke for at genåbne den debat, for den kan vi tage en anden dag, men jeg ville gerne videre og prøve at komme med nogle forslag, der løser alle tre udfordringer.",da_pa_3415940,32.2,2.8,5,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Det kan fremmes med folkeoplysende aktiviteter, men der er ikke fokus på denne vigtige dannelsesproces i ministerens redegørelse, og jeg vil efter  lyse midler til folkeoplysningsprocessen i Baltikum.",da_pa_1822374,32.2,2.8,5,3,3,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Det er derfor, man trygt kan sige, at genoptræningen skal være, som den lægefaglige vurdering siger den skal være – det kan ikke diskuteres.",da_pa_3034379,32.2,2.8,5,5,3,3,0,1,2,1,0,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"Det er betryggende og glædeligt, for ethvert barn, der har været udsat for noget af det frygteligste, der kan overgå et barn, hvor der ikke er blevet grebet ind, er et barn for meget.",da_pa_3482606,32.2,2.8,5,4,4,2,1,1,3,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Anders Fogh  Rasmussen kan vælge at holde sit løfte helt frem til næste  valg, det er jeg slet ikke i tvivl om.",da_pa_406466,32.2,2.8,5,3,4,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vi er helt trygge ved, at andelsboligforeningerne selv kan vælge den måde at aflægge regnskab på, som andelsboligforeningerne finder bedst.",da_pa_3869427,32.2,2.8,5,3,3,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nu er der stigende interesse for kommunisternes stilling og politik, fordi der er behov for en ny og fastere holdning over for samarbejdet med de borgerlige partier og over for Socialdemokratiets samarbejdsønsker med de borgerlige.",da_ma_3779,32.2,2.8,5,2,3,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"USA, Australien og tidligere kolonimagter som Frankrig og Storbritannien har sprog, der tales i store områder, og virker derfor tiltrækkende på indvandrere med et forholdsvis højt uddannelsesniveau.",da_ma_32157,32.2,2.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Der kunne man godt tænke sig, at nogle af de gejstlige, som ikke er med blandt anerkendte trossamfund, også kommer ind i nogle netværk, hvor de ikke bare fortsætter de oldnordiske syn på andre mennesker og taler ned om andre eller laver kulturel eller social kontrol, både inden for egne rækker, men bestemt også uden for egne rækker.",da_pa_4586513,32.2,2.8,5,4,4,0,3,1,1,1,0,0,0,3,3,1,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
"Den store  forskel giver måske et indtryk af, at meget af det her er  påvirket af, hvad der skrives i pressen.",da_pa_657652,32.2,2.8,5,1,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Videregående uddannelse som videreuddannelse Det er selvfølgelig svært at spå om, hvilken arbejdskraft erhvervslivet og det offentlige får brug for om 5-10 år.",da_ma_17291,32.2,2.8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeg vil bare nævne et par af eksemplerne, og jeg vil også gerne oversende Danske Regioners redegørelse eller status til udvalget, hvis der er interesse for det.",da_pa_4402753,32.2,2.8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arbejdsgiverne skal i højere grad betale de samfundsmæssige omkostninger ved nedslidning  og arbejdsulykker.,da_ma_4939,32.2,2.8,5,3,4,2,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hvad vil Venstre i givet  fald gøre for at sikre, at de ting bliver rettet op?",da_pa_1244565,27.6,3.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ministeren er dog ikke i stand til at beskrive, hvilke kvalitetskriterier han vil anvende.",da_pa_2014125,27.6,3.8,5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Den teknologiske udvikling stiller nye krav til arbejdsstyrken og her er især kvinder sårbare, fordi de generelt er dårligere uddannet end mænd.",da_ma_8145,27.6,3.8,5,3,4,1,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Men jeg må nok sige, at vi sammenlagt, som jeg sagde ved  behandlingen af de to øvrige forslag, er stærkt tvivlende  over for, om det her er den rigtige løsning.",da_pa_247120,27.6,3.8,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRF vil kæmpe for  det kristne grundlag!,da_ma_26249,27.6,3.8,5,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Og så længe der ikke bliver spurgt til, at ministeren skal  oplyse noget om, hvad PET har foretaget sig eller andre ting,  men alene om, hvornår ministeren blev bekendt med, at PET  havde kontakt med Dan Lynge, så er det svært at se, at  ministeren kan dække sig ind under, at det er noget, som ikke  må offentliggøres af hensyn til PET.",da_pa_1265261,27.6,3.8,5,3,2,0,3,0,0,0,0,0,0,3,1,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
"Hvis det er den tilgang og forventning, man har til indsatsen, så er det klart, at det har en betydning, og at det giver mening, men så betyder det, at resultatet bare bliver, at der ikke vil blive gjort en tilstrækkelig indsats for de forsikrede ledige på et tidspunkt, hvor der bliver flere og flere af dem.",da_pa_2629044,27.6,3.8,5,4,4,0,2,2,2,0,1,0,0,3,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"Ved samarbejde med radio og TV og ved øget oplysningsvirksomhed bør det sikres, at offentlige kulturelle institutioner i højere grad kommer hele befolkningen til gode.",da_ma_25042,27.6,3.8,5,2,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Og det kan vi så muntre os med resten af dagen.,da_pa_4351343,27.6,3.8,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"De migranter, der ankom til Danmark under den store indvandring i efteråret 2015 skal sendes tilbage til deres hjemlande eller til lejre i nærområderne, når deres midlertidige opholdstilladelse udløber.",da_ma_33576,27.6,3.8,5,4,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Det er almindelig del, som man kan finde  det på, oversendt den 13. maj 2002, jeg vil bare sige det  igen.",da_pa_990419,27.6,3.8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Men jeg synes, at denne type åbenhedsordning i virkeligheden er langt bedre egnet, fordi det dels pålægger den pågældende person selv at tage stilling, dels stiller folk til regnskab.",da_pa_2664225,27.6,3.8,5,3,2,1,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Forudsætningen for, at SF kan levere resultater, er et tæt samarbejde med vores alliancepartnere.",da_ma_10382,27.6,3.8,5,2,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Det, vi kan se af de sidste indikatorer, er, at produktiviteten er gået op i det danske samfund, vores eksport er blevet bedre, og i det hele taget går det bedre i Danmark nu.",da_pa_3057428,27.6,3.8,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
