,text,label,tweets
90,børnepsykolog margrethe brun hansen om klimaangste børn det smukke ved børn er at når de voksne ikke leverer så tager de over det ser man nu med skolestrejkerne man sådan bør det jo ikke være det er os voksne og dkpol der skal løse problemet og give håb dkgreen link,negative,børnepsykolog margrethe brun hansen klimaangste børn smukke børn voksne leverer tager skolestrejkerne voksne dkpol løse problemet give håb dkgreen
91,det er grineren når folk man kan huske fra gymnasiet bliver kendte rockmusikere der får gode anmeldelser i politiken fugleflugten favrskovgymftw link,positive,grineren folk huske gymnasiet kendte rockmusikere gode anmeldelser politiken fugleflugten favrskovgymftw
92,så er deres anstrengelser blevet honoreret men det burde være gået langt værre,negative,anstrengelser blevet honoreret gået langt værre
93,det er der heller ikke det er derfor man i stedet snakker om et ikke eksisterende kupforsøg,neutral,stedet snakker eksisterende kupforsøg
94,trumps tidligere kampagnechef dømmes igen får forlænget fængselsstraf link link,neutral,trumps kampagnechef dømmes forlænget fængselsstraf
95,stå til højre gå til venstre,neutral,stå højre gå venstre
96,rt denstoreleder og hans ekstremistiske disciple i dkpol dkgreen link,negative,denstoreleder ekstremistiske disciple dkpol dkgreen
97,du er jo helt hjernevasket af kulten sæt dig ind i hvad socialisme er danmark bygger ikke rigtigt på socialisme det lyder mere som et konservativt argument du bruger du er konservativ men tror du er socialist,negative,hjernevasket kulten sæt socialisme danmark bygger rigtigt socialisme lyder konservativt argument bruger konservativ tror socialist
98,kære rina vi har blot oversat udvalgets pressetweet men der vil selvfølgelig være mange forskellige udlægninger når så vigtig en aftale falder på plads gode hilsner til dig,neutral,kære rina blot oversat udvalgets pressetweet selvfølgelig forskellige udlægninger vigtig aftale falder plads gode hilsner
99,hvor er det dog noget vrøvl højere cigaretafgifter gavner de lavtlønnede mest da de i højere grad må stoppe med at ryge og dermed scorer den største helbredsgevinst sundpol dkpol,negative,vrøvl højere cigaretafgifter gavner lavtlønnede højere grad stoppe ryge scorer største helbredsgevinst sundpol dkpol
100,danskerne er optaget af den grønne dagsorden som aldrig før som valgkampstema er den grønne dagsorden dog udfordret af at alle partier erklærer sig grønne og hvis der er enighed er der jo ikke meget friktion og debat dkpol klimastrejke dkgreen link,negative,danskerne optaget grønne dagsorden valgkampstema grønne dagsorden udfordret partier erklærer grønne enighed friktion debat dkpol klimastrejke dkgreen
101,artikel serie a debat spændende spot mellem top og bund ons apr kl serie a debat spændende spot mellem top og bund kommentarer fra degnovic det øverste af toppen og det nederste af bunden synes afgjort i link betxpert betdk pldk link,neutral,artikel serie a debat spændende spot top bund ons apr kl serie a debat spændende spot top bund kommentarer degnovic øverste toppen nederste bunden afgjort betxpert betdk pldk
102,måneder er gået med forberedelse øvelse og træning både på dansegulvet på landeveje og på møns klint nu er det nu danmarksmesterskab i weekenden link,positive,måneder gået forberedelse øvelse træning både dansegulvet landeveje møns klint danmarksmesterskab weekenden
103,skønt at endnu flere kolleger får smil på læben og sved på panden sammen med vores foreninger vi har medlemsfremgang i ud af regioner firmaidrætten dyrksammenholdet link,positive,skønt kolleger smil læben sved panden foreninger medlemsfremgang regioner firmaidrætten dyrksammenholdet
104,jeg har gennem længere tid ønsket at åbne en burgerkæde og har derfor researchet benhårdt jeg har tons af data der beviser hvor de andre kæders kundekontakt er svær og træls det problem løser min kæde dkentrepreneur løvenshule iværksætter link,positive,tid ønsket åbne burgerkæde researchet benhårdt tons data beviser kæders kundekontakt svær træls problem løser kæde dkentrepreneur løvenshule iværksætter
105,softwarestartup rejser millioner til ekspansion og udbredning af platform link,neutral,softwarestartup rejser millioner ekspansion udbredning platform
106,her er øjeblikket der stjal opmærksomheden til oscar showet link link,neutral,øjeblikket stjal opmærksomheden oscar showet
107,vi peger jo ikke på s så vi skal ikke som de øvrige opppartier forhandle om et regeringsgrundlag vi vil til gengæld tilkendegive om vi på baggrund af et reg grundlag kunne finde på at vælte en regering lige meget hvilken den er og her betyder udlændingepolitikken noget,neutral,peger s øvrige opppartier forhandle regeringsgrundlag gengæld tilkendegive baggrund reg grundlag finde vælte regering betyder udlændingepolitikken
108,grov men sjov link,positive,grov sjov
109,de kan ikke selv se det forandringsblindhed det er nemt nok at narre folk men nærmest umuligt at overbevise dem om at de er blevet narret,neutral,forandringsblindhed nemt narre folk nærmest umuligt overbevise blevet narret
110,med en hel masse hjælp fra voldelige optøjer,negative,masse hjælp voldelige optøjer
111,jeg har fjernet det men finder det er en knægtelse af ytringsfriheden og er skuffet over at du læser andet end det der stod og i øvrigt intet kan være galt i at dkpol børn bliver gift på ferie i tyrkiet og efterfølgende respekteret for deres valg i danmark eller er der,negative,fjernet finder knægtelse ytringsfriheden skuffet læser stod galt dkpol børn gift ferie tyrkiet efterfølgende respekteret valg danmark
112,ja så enkelt er det og mange lar seg manipulere,negative,enkelt lar seg manipulere
113,lol det er så åndssvagt og så dansk,positive,lol åndssvagt dansk
114,slam fattigdom er ikke en kreativ alternativ måde at leve på det er ikke et spændende zen øjeblik at være fattig fattigdom er ikke at have back up fattigdom er ikke at have valg fattigdom er ikke at have muligheder fattigdom er ikke en personlighedsbrist link,negative,slam fattigdom kreativ alternativ måde leve spændende zen øjeblik fattig fattigdom back up fattigdom valg fattigdom muligheder fattigdom personlighedsbrist
115,vi offentliggør ny artikel i serien velfungerende markeder forbrugerinddragelse i forsyningssektoren via aftalebaseret regulering dkøko dkforsyning link,neutral,offentliggør artikel serien velfungerende markeder forbrugerinddragelse forsyningssektoren aftalebaseret regulering dkøko dkforsyning
116,jeg spørger bare hvorfor d t er i orden når det ikke er i orden mange år senere at læse op af ekstra bladets artikler i en podcast det kunne du jo prøve at forholde dig til,negative,spørger d t orden orden år læse ekstra bladets artikler podcast prøve forholde
117,en årig mand fra væggerløse er i dag ved retten i nykøbing f blevet idømt en bøde på kr og frakendt førerretten ubetinget i år for i aug at have kørt ad gåbensevej i nykøbing f med en promille på over anklager politidk,neutral,årig væggerløse dag retten nykøbing f blevet idømt bøde kr frakendt førerretten ubetinget år aug kørt ad gåbensevej nykøbing f promille anklager politidk
118,og sur mælk i kaffen,negative,sur mælk kaffen
119,men integrationsplan efter integrationsplan har vist at man ikke integreres med mindre man selv vil det men tak til rv for at være ærlige i kan ikke give mette f opbakning hvis ikke hun skrotter paradigmeskiftet godt at være ærlig overfor vælgerne dkpol,negative,integrationsplan integrationsplan vist integreres tak rv ærlige give mette f opbakning skrotter paradigmeskiftet ærlig overfor vælgerne dkpol
120,rt stenhårdt gini lfc carliv pldk,positive,stenhårdt gini lfc carliv pldk
121,så nu bliver det fandme spændende via insta smdk eggcelent potatopotato link,neutral,fandme spændende insta smdk eggcelent potatopotato
122,den retorik paludan benytter leder til vold mod de han hetzer imod måske dkpol skal overveje at vendryggentilpaludan suppleres med lovgivning tyskland har f eks ud fra deres historiske erfaring med jødedoms kritikere et begreb i lovgivningen der hedder volksverhetzung link,negative,retorik paludan benytter leder vold hetzer dkpol overveje vendryggentilpaludan suppleres lovgivning tyskland f eks historiske erfaring jødedoms kritikere begreb lovgivningen hedder volksverhetzung
123,jeg har det lidt mærkeligt med at man kan lave journalistik på den måde på den ene side er oplysningerne jo super relevante og interessante på den anden side kan man så det som journalist sidde i en bar og høre folk tale og så lave en hel artikel om det,negative,mærkeligt journalistik måde side oplysningerne super relevante interessante side journalist sidde bar høre folk tale artikel
124,rektor en bæredygtig løsning er den som både gør brug af nye teknologier og klimarigtige materialer og som samtidig appellerer til folks værdier identitetsopfattelse og smag det er den slags løsninger vi viser eksempler på i rigsdagsgården sdg link,neutral,rektor bæredygtig løsning både brug nye teknologier klimarigtige materialer samtidig appellerer folks værdier identitetsopfattelse smag slags løsninger viser eksempler rigsdagsgården sdg
125,ja og har lige set at rv fik over af stemmerne til skolevalg i odense link,neutral,set rv stemmerne skolevalg odense
126,oveni netflix hbo viaplay amazon prime som man skal have for at kunne se det man gerne vil er der noget at sige til at piratkopiering blomstrer,negative,oveni netflix hbo viaplay amazon prime gerne piratkopiering blomstrer
127,det første drive af minutter spil yards touchdown nfl nfldk link,neutral,første drive minutter spil yards touchdown nfl nfldk
128,husk at i dag er sidste chance for at købe anno hvis du stadig ikke er helt sikker på om det er dine penge værd kan du tage et kig på denne accolades trailer der indeholder anmeldelser fra bl a pc gamer og eurogamer find det her link link,positive,husk dag sidste chance købe anno sikker penge værd kig accolades trailer indeholder anmeldelser bl a pc gamer eurogamer find
129,mindre færdselsuheld stenhusvej holbæk link link,neutral,færdselsuheld stenhusvej holbæk
130,syntes nok der var et eller andet bekendt ved harry mukhtar s frisurestil dkbn biffck sldk ermukhtarivirkelighedentidsrejsende link,negative,bekendt harry mukhtar s frisurestil dkbn biffck sldk ermukhtarivirkelighedentidsrejsende
131,aha du betegner det som to lag vælgere og det har du jo på sin vis ret i det første lille bitte lag repræsenterer så udvælgelsen som det store lag er begrænset til at vælge imellem vist på tide at få tænkt alternativt over det repræsentative demokrati,negative,aha betegner lag vælgere vis ret første bitte lag repræsenterer udvælgelsen lag begrænset vælge vist tide tænkt alternativt repræsentative demokrati
132,hjælp var i færd med at opdatere iphone via itunes da jeg får fejl sker med forskellige kabler og computere nu er jeg nødt til at gendanne min iphone fra scratch hvis jeg ikke kan fuldføre opdateringen nogle gode fifs til hvad jeg gør twitterhjerne,neutral,hjælp færd opdatere iphone itunes fejl sker forskellige kabler computere nødt gendanne iphone scratch fuldføre opdateringen gode fifs twitterhjerne
133,lad mig gætte afsnittet med bella pigen der sjovt nok bliver stresset af alle de devices mor and dad har tømt babysam for og måske også det med verdens heldigste blogger baby,neutral,gætte afsnittet bella pigen sjovt stresset devices mor and dad tømt babysam verdens heldigste blogger baby
