,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
12,negative,negative,TRUE,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[ 3.6065843 -0.2558079 -3.4174447],[9.7856176e-01 2.0567082e-02 8.7114674e-04]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 5.418248  -2.7376878 -2.9802697],[9.9948800e-01 2.8687948e-04 2.2508561e-04]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[ 0.95749587  3.1544986  -3.969746  ],[9.9947535e-02 8.9932823e-01 7.2426593e-04]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-3.1496875 -2.5198915  5.6896653],[1.4485614e-04 2.7192794e-04 9.9958318e-01]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 5.759588  -2.53245   -3.5581632],[9.9965990e-01 2.5041823e-04 8.9785142e-05]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-2.263926   4.4066553 -1.699624 ],[0.00126324 0.99651563 0.00222106]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-2.500502   4.226062  -1.3922145],[0.00119288 0.99519366 0.00361344]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-3.2330132 -2.4737973  5.767649 ],[1.2328046e-04 2.6340093e-04 9.9961334e-01]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[-2.0966094  4.8419485 -2.2486863],[9.6792250e-04 9.9820065e-01 8.3136989e-04]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 5.7949243 -2.5814664 -3.5073416],[9.9967873e-01 2.3016555e-04 9.1187976e-05]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-0.9440677  4.294874  -3.052319 ],[5.2744816e-03 9.9408489e-01 6.4058678e-04]
23,negative,negative,TRUE,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[ 4.7061563 -0.1524533 -4.6092796],[9.9220991e-01 7.7008056e-03 8.9322602e-05]
24,neutral,negative,MISS,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[-1.9152274  4.9316483 -2.4537714],[1.0609854e-03 9.9831980e-01 6.1918807e-04]
25,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 5.605923  -2.3619783 -3.4956567],[9.9954236e-01 3.4624670e-04 1.1143853e-04]
26,negative,neutral,MISS,"Milos.. Der er en himmelvid forskel på at bruge en sexuel orientering som skældsord, og et erhverv, uanset om det er luder/bilsælger/bankmand eller håndværker. Du kan skifte erhverv, det er umiddelbart nok sværere at sexualitet. Læs tipsbladets artikel om",[ 2.4471066  2.2646093 -4.735181 ],[5.4527205e-01 4.5431358e-01 4.1436742e-04]
27,negative,negative,TRUE,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 4.998519  -1.0881698 -4.115467 ],[9.9762255e-01 2.2675185e-03 1.0985313e-04]
28,neutral,negative,MISS,"RT @USER: Du mener: Hvem bliver nummer tre ?

Først var det skolelærerne...",[-0.9179355  4.643868  -3.1393445],[3.8255509e-03 9.9575955e-01 4.1490453e-04]
29,negative,neutral,MISS,"Mediernes rolle skal forklares forfra, skriver som kommentar til ""På sin vis er der tale om ytringsfrihed på speed. Men hvis de forpligtede, uafhængige medier samtidig svækkes, får vi et demokratisk problem"" #dkmedier",[ 5.3983274 -1.4184928 -4.24959  ],[9.9884158e-01 1.0939293e-03 6.4485124e-05]
30,positive,positive,TRUE,"Ved du overhovedet hvad det ord betyder?

Jeg er fuldstændig enig med @USER. Danmark har brug for en ny retning!",[-2.9679677 -2.7560086  5.654574 ],[1.799298e-04 2.224107e-04 9.995977e-01]
31,neutral,negative,MISS,Der er noget skrivere har misforstået. Han skriver en nedsænkning vil give 7000 yderlige pladser og det er AGFS ønske. AGF har ikke noget ønske om at øge kapaciteten til 27000 #ultratwitteragf,[ 2.2789605  2.581501  -4.7060733],[4.2476946e-01 5.7483733e-01 3.9318021e-04]
32,negative,negative,TRUE,"Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 3.990341  -2.3510606 -1.584071 ],[0.9944752  0.0017521  0.00377275]
33,negative,negative,TRUE,"Hvorfor gør #dkpol ikke noget mere for at få flere elbiler på vejene, ladestandere sat op....",[ 5.6699066 -2.212282  -3.678908 ],[9.9953580e-01 3.7723087e-04 8.7028122e-05]
34,neutral,positive,MISS,"Konkurrencestater kommer i forskellige varianter, og det samme gælder for den danske konkurrencestat 🇩🇰. Nysgerrig? Køb 'Konkurrencestatsministeren' her: #dkpol #dkøko",[-2.5841904  4.1545076 -0.9422489],[0.00117561 0.9927522  0.00607222]
35,negative,neutral,MISS,"Jo jo, men de kan jo ikke bruges som en overvældende del af holdets succes. De har ydet på visse områder, men har vel ikke været kæmpe profiler.",[ 5.4227505 -1.7966931 -3.734124 ],[9.99163032e-01 7.31597014e-04 1.05403786e-04]
36,neutral,positive,MISS,Viacom letter på aftale med AT&amp;T og topper S&amp;P 500-indekset,[-1.9522668  4.981556  -2.5508199],[9.7280083e-04 9.9849248e-01 5.3465733e-04]
37,positive,positive,TRUE,Det er flot! Træning er heller ikke en særligt stor del af vægttab. Du kan ikke træne dig ud af dårlige spisevaner du skal spise dig ud af dem. Træning er selvfølgelig godt for en masse andre ting så det er helt fint at træne (eller ej).,[-3.4031878 -2.0507724  5.689602 ],[1.1241233e-04 4.3467068e-04 9.9945289e-01]
38,neutral,neutral,TRUE,Online Angst Kursus. Prøv gratis. Ingen binding. Ingen kreditkort. Gå til → #angst #stress #denmark,[-2.5216105  4.3252406 -1.3079759],[0.00105789 0.99538165 0.00356053]
39,neutral,neutral,TRUE,Det er Robsons store udfordring. Han er dog ret bredt anerkendt som en af de største engelske spillere,[-3.269435   2.2593763  1.6997385],[0.00252046 0.63476473 0.3627147 ]
40,negative,negative,TRUE,"Fodboldfans og sange er altså en historie for sig selv! 
Så ufattelig mange sløje tekster og selvkonstruerede ord for at få noget til at lade som om det rimer.",[ 5.735192  -2.6608622 -3.371938 ],[9.9966347e-01 2.2568037e-04 1.1083515e-04]
41,neutral,neutral,TRUE,"Det er Torsdag og dermed Premier League i Dart, med runder igen før finalen strammer det til nu.
Se forslag på facebook side",[-2.0185554  4.701958  -2.12072  ],[0.00120316 0.99771047 0.00108631]
42,neutral,neutral,TRUE,"Nethandel med Dankort fejrer 20 års fødselsdag i dag. Tilbageblik: Det er i dag 20 år siden, at det første køb med Dankort på nettet blev gennemført. Siden er det blevet til millioner af handler på nettet.",[-2.3050952  4.722355  -1.840219 ],[8.8515581e-04 9.9770588e-01 1.4090061e-03]
43,neutral,negative,MISS,Det vil sige at laveste fællesnævner hermed er dem det laver balladen.,[-1.7765758  4.9599986 -2.708229 ],[1.1847459e-03 9.9834859e-01 4.6667363e-04]
44,negative,negative,TRUE,"@USER, hvor er det bare en uklædelig måde du omgår reglerne om kampagnestøtte. Du er jo udmærket klar over, hvad intentionen med loven er. Den burde du som borgerlig leve op til. Åbenhed er en styrke i politik. #dkpol #fv19",[ 5.677486  -2.8162036 -3.2210822],[9.9965870e-01 2.0468653e-04 1.3653774e-04]
45,negative,negative,TRUE,"Meget ærgerligt for Slagelse Kommune, fordi jeg er tæt på byen, hvor jeg kan få arbejdet i Korsør, det er bare et arbejde. De skal kunne tænke sig om.",[ 5.736608  -2.6506467 -3.4604723],[9.9967098e-01 2.2767672e-04 1.0130147e-04]
46,neutral,neutral,TRUE,"Hvad sker der med i dag, kan ikke komme ind??",[-1.0509278  4.677326  -3.0967455],[3.240848e-03 9.963403e-01 4.189587e-04]
47,negative,negative,TRUE,"Men igen; hvor mange opretter en komité og når frem til “nå, ingen vil have mig”?",[ 5.675959  -2.42841   -3.6222432],[9.9960643e-01 3.0209689e-04 9.1552669e-05]
48,positive,negative,MISS,Så er der jo fremtids sikret. Når man ser hvad der sker på vestkysten nemlig ikke en skid så kan jeg godt se hvorfor det bliver gjort. For der må da ikke kystsikres før det er for sent. Så jeg smiler bare.,[ 0.2614545 -2.4712067  2.249538 ],[0.11952325 0.00777451 0.8727023 ]
49,negative,negative,TRUE,Det hedder at klæbe sig til taburetten man ved er tabt alligevel. Husk I kun blev reddet af DF sidste gang,[ 5.6365447 -2.6892803 -3.2165568],[9.9961495e-01 2.4208784e-04 1.4288265e-04]
50,negative,negative,TRUE,Mig heller ikke. Al magt til velfærds argumentet om den enkle fries lykkelige. Lad os i samlet flokkes kor nedlægge denne fucking irriterende natur planeten dyrene og træerne og insekterne der æder vores korn eller er det de vilde fugle. Lad os slaa disse fucking fugle ihjel.,[ 5.7436543 -2.6859944 -3.386707 ],[9.9967349e-01 2.1822695e-04 1.0829104e-04]
51,neutral,positive,MISS,"Tror faktisk der er en hel del fodboldfans i hele DK, der passer på den beskrivelse. Måske ligefrem et par hviiie’ også...? Kudos til VF for at stikke hul - mon ikke det bliver forårets tema? Og DBU kommer til at følge op med et par trusler osv. osv... #Sldk",[-2.031515   4.851371  -2.3087037],[1.0233369e-03 9.9820101e-01 7.7559910e-04]
52,negative,negative,TRUE,Man har i årtier benyttet enhver lejlighed til at sætte brand i gaderne på Nørrebro. Først venstreorienterede autonome og siden indvandrerne fra Mellemøsten. Så det er en kultur der har eksisteret længe før nogen kendte til Rasmus Paludan. Han er blot en dårlig undskyldning.,[ 5.639641 -2.781748 -3.178718],[9.9963212e-01 2.2002782e-04 1.4793652e-04]
53,neutral,neutral,TRUE,"Ja, kan du ikke bare være enig i det mest effektive tiltaket, så er vi ferdig? ;)",[-0.48853147  0.8673703  -0.03230437],[0.15483792 0.60081106 0.24435104]
54,negative,negative,TRUE,"T.e. ved at læse tweets og svar som dine med fascistiske og racistiske undertoner. Og den undren det giver når danskere, som ellers virker til at være veluddannede og intelligente, kan få så menneskefjendske holdninger. Det er ikke mit Danmark mere. Lev vel.",[ 5.740231  -2.7859735 -3.2983658],[9.9968314e-01 1.9814292e-04 1.1869967e-04]
55,negative,negative,TRUE,"Rygning ... ja lad os endelig putte mere skat i statskassen så skattestyrelsen kan forpurre dem efterfølgende , mine cigaretter koster næsten 50 kr så prisen er fordoblet de sidste 10-12 år har det hjulpet staten burde ikke blande sig og hvad bliver det næste rødvin ? Slik ?",[ 5.781885  -2.6485956 -3.4703648],[9.996861e-01 2.180481e-04 9.586557e-05]
56,neutral,negative,MISS,"“Han sov på gaden, når han ikke vandt i lodtrækningen om at få en plads i et herberg for natten, har han forklaret”.
Vi kan ikke være det bekendt, at der må trækkes lod. Tak for frifindelse",[ 1.6421442  2.0784006 -3.6082785],[0.3918264  0.6061184  0.00205525]
57,negative,positive,MISS,"Ganske kort og simpelt: hvis det er så fandens korrekt, alt det du får braldret af dig, hvorfor er det så, at stemmerne flyver fra jer som lort fra spædekalve? Gi' dig gerne god tid. Og vær nu varsom med at svine dine vælgere til 😆😉👍",[ 5.7879863 -2.6708033 -3.476981 ],[9.9969339e-01 2.1196349e-04 9.4654832e-05]
58,neutral,neutral,TRUE,Stormen Pabuk dræber to ældre og en fisker i Thailand,[-0.6534422  4.336047  -3.451875 ],[6.7603039e-03 9.9282795e-01 4.1173943e-04]
59,neutral,positive,MISS,Det ser spændende ud! Men for en god ordens skyld: Det er og der holder konferencen. Vi er bare skriverkarle :-),[-2.5377722  4.3912964 -1.3223015],[9.7474060e-04 9.9573851e-01 3.2867095e-03]
60,neutral,positive,MISS,Kan næsten ikke følge med efterspørgslen: 'Vestjyden' går som varmt brød (Dette er en plus-artikel),[-1.4013598  3.6629467 -1.4766057],[0.00624227 0.98796785 0.0057898 ]
61,neutral,negative,MISS,"Når vi nu ikke ved, hvornår der er Folketingsvalg (@USER?), kan vi jo meget passende forberede os til den 26. maj, hvor vi stemmer om noget, der er MINDST ligeså vigtigt #dennegangstemmerjwg #eudk",[-1.1185817  4.623167  -2.9390042],[3.1972290e-03 9.9628496e-01 5.1781483e-04]
62,positive,positive,TRUE,Jeg føler at 2019 starter overordentligt godt :),[-2.3102832 -3.277717   5.144065 ],[5.7845679e-04 2.1984667e-04 9.9920171e-01]
63,neutral,positive,MISS,Lækre detaljer i brilleetuier og pudseklude 😍,[-2.7911592  3.8145826 -0.6641782],[0.00133562 0.9874593  0.01120516]
64,neutral,positive,MISS,Enig. En true detective podcast. det er lige dig ? :),[-2.5983684  4.092152  -1.0748888],[0.00123407 0.9931038  0.0056621 ]
65,negative,negative,TRUE,"Tillykke til @USER. Førstepladsen for desperation, misbrug af embedsværk og største politiske selvmål i #dkpol 😂😂",[ 4.552056  -1.8886113 -2.8116314],[9.9777573e-01 1.5917935e-03 6.3244690e-04]
66,negative,negative,TRUE,"Orban er en 'klaphat', men vil beholde ham i EPP-gruppen i Europa-Parlamentet, efter Juncker opfordrer til at man smækker den konservative dør i -&gt;",[ 3.143687   1.7012911 -4.8747597],[8.0860996e-01 1.9112368e-01 2.6630043e-04]
67,negative,neutral,MISS,Forsker: Udvisket arbejderklasse gør alle partier til arbejderpartier,[ 4.326572    0.18015574 -4.716795  ],[9.84310925e-01 1.55727966e-02 1.16318224e-04]
68,neutral,neutral,TRUE,"Det er en fin anledning, jeg kan godt huske den del, fra jeg selv stod der. Det var mere for de tilfælde, hvor ingen prøver eller holder øje med den slags, og man så fx lige skal finde faren og derfor har brug for at vide hvornår, det kan være sket.",[-2.2895834  4.784922  -2.0237527],[8.4476307e-04 9.9805331e-01 1.1020056e-03]
69,neutral,positive,MISS,Jeg ville ihvertfald. Om nødvendigt ville jeg være parat til at kalde min ufødte datter Oscar.,[-2.9231784   3.1014028   0.35199502],[0.00226801 0.9377483  0.05998376]
70,positive,negative,MISS,"Rigtig mange forældre er i tvivl om de mon gør det godt nok. 

Mange er bekymret og går med det selv.

Derfor er dette et rigtig godt initiativ.",[-3.6793077 -1.3507208  5.4751596],[1.0562052e-04 1.0840289e-03 9.9881041e-01]
71,negative,neutral,MISS,"De politikere, der råbte ""skandale"", var fuldt ud informerede og havde alle oplysninger til rådighed om metodespørgsmål i de nationale test.

Bekræfter kun det gamle ord: Peger du en finger mod andre, vender der tre mod dig.

#dkpol 

[LINK]",[ 5.179388  -1.4850652 -3.7253234],[9.9859077e-01 1.2736561e-03 1.3555650e-04]
72,neutral,neutral,TRUE,"Her er øjeblikket, der stjal opmærksomheden til Oscar-showet,",[-2.3536818   3.251212   -0.48519552],[0.00358126 0.97321767 0.02320112]
73,positive,neutral,MISS,"Jeg deler din overraskelse, selvom jeg kommer jævnligt dernede på deres klatrebaner, så måske burde jeg ikke blive overrasket. På den anden side, er det jo ikke ‘vores’ natur, men hans ejendom.",[-0.6927945 -1.6810704  2.548467 ],[0.03712205 0.01381749 0.9490605 ]
74,neutral,neutral,TRUE,"Nogen der har råd mod hold i nakke/skulder?? Der er ligesom en knude, der gør nuller #twitterhjerne",[-1.3703842  4.865475  -2.9078608],[1.9532994e-03 9.9762696e-01 4.1980852e-04]
75,neutral,negative,MISS,"Sort dag. var som den braldrende kammerat på et fodboldhold. Han tisser i badet, får dumme gule kort. Men er også ham, der skyder fra en kropumulig vinkel og scorer. Giver omgang, selvom kontoen er i overtræk. Og som man slet ikke kan undvære, den dag han er væk. #dkmedier",[ 0.7902291  2.9436588 -3.4765987],[0.10385964 0.8946836  0.00145676]
76,neutral,negative,MISS,"Martin Retov skal stoppe med at brokke sig over det røde kort til Ercec! Ercec har bolden i hænderne og kaster den langt væk. Klart tidsudtræk - og nummer to gule kort til Ercec. Hvis der er nogen, der mangler 'fingerspitzengefühl' i den sag, så er det i hvert fald ikke dommeren.",[-0.5148735  4.3614545 -3.2650778],[7.5636036e-03 9.9195296e-01 4.8342609e-04]
77,positive,neutral,MISS,Jeg lukkede den faktisk ned inden et møde 😬,[-2.8550706 -2.560869   5.5861173],[2.1568463e-04 2.8946062e-04 9.9949479e-01]
78,negative,neutral,MISS,"Det er Paludans egen iscenesættelse.
Han må tale og demonstrere alt det han vil. På steder, der ikke forstyrrer offentlig orden.",[ 5.36799   -2.742539  -2.8183467],[9.9942148e-01 3.0018619e-04 2.7827095e-04]
79,negative,negative,TRUE,"Det komplekse er en afledning. Det er sådan set meget simpelt: Flere hundrede mennesker skal ikke stå og synge sange, der bruger homoseksualitet nedsættende. Det burde være muligt at have en klar holdning til.",[ 5.6246176 -2.1949303 -3.705128 ],[9.9950969e-01 4.0160638e-04 8.8701330e-05]
80,negative,neutral,MISS,"Bidrager til dagens forsidehistorie i om at #dkpol skal passe på med at pille ved Velfærdsforliget. Det er meget dyrere for #dkøko at slække på løft af pensionsalder end at lave særordninger for et mindretal af nedslidte til fx 3 mia. kr.
",[ 5.710334  -2.2858412 -3.6871705],[9.9958044e-01 3.3660702e-04 8.2895938e-05]
81,neutral,negative,MISS,I de seneste år er de private virksomheders overskud vokset markant. Det er dog mest af alt kommet de få rige til gode. Flertallet af befolkning har adgang til en stadig mindre del af velstanden. Fra 1990 er uligheden steget med 32%. 1/4,[ 0.01527413  4.062106   -3.7067258 ],[1.717030e-02 9.824144e-01 4.152731e-04]
82,negative,negative,TRUE,"Synes på en måde alle fangrupper burde gå fælles front mod dette tåbelige valg af DBU. I det mindste finde en løsning hos alle dem som har købt billet til om søndagen som ikke kan.

Er der ikke et nummer til DBU som man kan kontakte!",[ 5.577433  -1.5468407 -4.311077 ],[9.9914467e-01 8.0462889e-04 5.0711114e-05]
83,negative,positive,MISS,"Gengæld fik jeg bare ud fra at du skrev at nu jeg gjorde grin af dig her, gjorde du grin af mig der. 

Det er også fair nok. ""For the lolz"" er en helt legitim grund :)",[ 5.7107053 -2.752696  -3.2715719],[9.9966347e-01 2.1098187e-04 1.2557422e-04]
84,neutral,neutral,TRUE,"Lig, dildoer og flaskepost: Sære ting, der er blevet fundet i naturen",[-1.5109684  3.778698  -1.6143942],[0.00499553 0.9904999  0.00450468]
85,negative,negative,TRUE,"Jeg tog det første semester på uddannelsen, vi var fem studerende på holdet, måske forstår jeg godt at det ikke kan betale sig. Desværre.",[ 4.438709  -1.2102853 -3.3186972],[9.9606687e-01 3.5072085e-03 4.2588246e-04]
86,neutral,neutral,TRUE,Kan vi stole på i klimakampen? Det spørger i lørdagens leder om @USER’ seneste udtalelser #dkgreen,[-1.9867232  4.9855003 -2.5259016],[9.3617645e-04 9.9851781e-01 5.4600334e-04]
87,negative,negative,TRUE,"Jarlov tror fejlagtigt, at alle, som er uenige med ham, pr. definition er venstreorienterede. Man er dog ikke nødvendigvis venstreorienteret, bare fordi man er uenig med en kraftigt højredrejet #dkpol",[ 5.124103  -1.5406098 -3.768522 ],[9.9858934e-01 1.2733239e-03 1.3720471e-04]
88,neutral,neutral,TRUE,Lige her kan du se det nye Risbjerg-snit (og måske sidste inden valget bliver udskrevet) #dkpol,[-1.5547771  4.8515196 -2.8093207],[1.6476314e-03 9.9788243e-01 4.6991452e-04]
89,neutral,neutral,TRUE,Dorte Jarlby: Jeg sagde selv fra overfor Klaus Riskær Pedersen,[-1.8204598  4.982706  -2.6054943],[1.1084627e-03 9.9838603e-01 5.0557416e-04]
90,neutral,neutral,TRUE,"Nej, det gør der ikke. Se evt. her: :)",[-1.3330761  4.740241  -3.0003545],[2.2972294e-03 9.9726921e-01 4.3362504e-04]
91,negative,negative,TRUE,"Troels Lund siger helt korrekt lige nu i at udenlandske firmaer spekulerer i ikke at registrere sig når de udfører arbejde i Danmark. Men han glemmer, at resultat af at denne regering har sparet massivt på indsatsen mod social dumping og på Arbejdstilsynet. #dkpol",[ 5.728175  -2.1954114 -3.8333402],[9.9956769e-01 3.6194464e-04 7.0355600e-05]
92,neutral,neutral,TRUE,"Læs mere om samrådet her i 
[LINK]
#Skolechat",[-2.2753356  4.8028398 -2.1617842],[8.4180513e-04 9.9821520e-01 9.4303198e-04]
93,neutral,positive,MISS,Nordjysk firma står bag Tysklands største solvarmeanlæg,[-1.8075106  4.8554773 -2.6562293],[1.2749988e-03 9.9817932e-01 5.4565223e-04]
94,positive,positive,TRUE,"Tak til alle de politikere, der vil med og os på #arbejde 👍 Vi glæder os til at vise jer, hvorfor vi ser muligheder i alle mennesker. Hvordan vores arbejde gør en forskel.
@USER",[-3.0762079 -2.5821579  5.733569 ],[1.4920773e-04 2.4454261e-04 9.9960631e-01]
95,neutral,neutral,TRUE,Terror i Sri Lanka | Fejl i danske pas | Borgmester befamlet,[-1.0730273  4.6076217 -2.939923 ],[3.3979609e-03 9.9607676e-01 5.2533450e-04]
96,negative,neutral,MISS,"Velfærd og asylansøgere er ikke hinandens modsætninger: 7,5% af BNP kommer fra udenlandsk arbejdskraft. Vi mangler arbejdskraft i Dk. Se link. Væksten går i stå, det tager penge fra velfærd",[ 5.622787  -2.4233632 -3.4636958],[9.9956673e-01 3.2019397e-04 1.1313640e-04]
97,positive,positive,TRUE,her er mine elevers bud på de vigtigste emner til valget - de er alle førstegangsvælgere! De håber at de bliver hørt! #dkpol,[-2.821843  -2.8372078  5.5835066],[2.2356832e-04 2.2015951e-04 9.9955624e-01]
98,neutral,neutral,TRUE,Hvor er de handicappede i #sundhedsreform,[-1.4640142  4.922044  -2.9109423],[1.6813856e-03 9.9792296e-01 3.9561655e-04]
99,neutral,positive,MISS,"Jeg tænker, jeg godt kan købe en øl eller to mere, hvis der kommer lidt medvind på kurserne...",[-3.1601846   3.3702142   0.15331976],[0.00140026 0.96011883 0.03848093]
100,positive,positive,TRUE,"Vi har hørt meget om to nye 🐼🐼 i #dkmedier de sidste par dage. Nu er de endelig landet. Også på 6A'eren. Vi er stolte over at løfte arven videre efter #cphzoo legendariske slange-bus. Hold øje med pandabussen, og se de sort-hvide charmetrolde i ZOO fra 11. april",[-3.121645  -2.5293682  5.7374487],[1.4202711e-04 2.5679922e-04 9.9960119e-01]
101,negative,neutral,MISS,Man kunne flytte en del af energiafg. over på CO2-afg. Biogas udfordring er pt at den ikke afgiftsmæssigt adskilles fra naturgassen den iblandes. At gasbiler så betaler mere/km i energiafg. end diesel skyldes den ineffektiv motor baseret på benzintek. Det gælder ikke den i link.,[ 5.5629783 -1.6667261 -4.2065783],[9.9921858e-01 7.2416879e-04 5.7121055e-05]
102,positive,positive,TRUE,Fredericia-helt om 2-1: Ekstremt vigtig sejr #1div #FCFredericia,[-2.951434  -2.6709363  5.715689 ],[1.7208487e-04 2.2780393e-04 9.9960011e-01]
103,negative,neutral,MISS,Der er alt for meget at komme efter i den norske (og danske) undergrund!,[ 5.665212  -2.162284  -3.7571957],[9.9952066e-01 3.9843129e-04 8.0852216e-05]
104,neutral,neutral,TRUE,"Der er både 👍 og 👎 i AFC West i vores draftanalyse 🏈

@USER kommer her med sin vurdering af holdenes valg i Nashville 💥 #nfldk #NFLDraft",[-2.7249084  4.2442665 -1.2552376],[9.3572272e-04 9.9499595e-01 4.0683378e-03]
105,neutral,negative,MISS,"Din og andre i din vennekreds udgør ikke noget repræsentivt uddrag - mit opfattelse er nærmere at det er størstedelen som agerer som beskrevet, og det modsatte er enkelte særtilfælde. Men hey, svært at dokumentere - derfor bør du ikke determinere det.",[-0.5873843  4.251175  -3.1821723],[7.8516398e-03 9.9156219e-01 5.8621675e-04]
